N, C, Time, EquationSize
10, 1, 2591, 188
10, 2, 4555, 188
10, 4, 5085, 188
10, 8, 6357, 188
10, 11, 10200, 188
10, 16, 12616, 188
10, 20, 8566, 188
10, 24, 15713, 188
10, 28, 18569, 188
10, 32, 112411, 188
25, 1, 30865, 1053
25, 2, 24717, 1053
25, 4, 16689, 1053
25, 8, 17349, 1053
25, 11, 23397, 1053
25, 16, 15713, 1053
25, 20, 32836, 1053
25, 24, 30488, 1053
25, 28, 24621, 1053
25, 32, 273087, 1053
50, 1, 312677, 3994
50, 2, 181892, 3994
50, 4, 133521, 3994
50, 8, 76497, 3994
50, 11, 68977, 3994
50, 16, 70676, 3994
50, 20, 90145, 3994
50, 24, 71309, 3994
50, 28, 68511, 3994
50, 32, 741602, 3994
75, 1, 992157, 8975
75, 2, 849649, 8975
75, 4, 458717, 8975
75, 8, 215103, 8975
75, 11, 187865, 8975
75, 16, 160870, 8975
75, 20, 179920, 8975
75, 24, 123228, 8975
75, 28, 187856, 8975
75, 32, 1.18761e+06, 8975
100, 1, 2.56882e+06, 15878
100, 2, 1.90728e+06, 15878
100, 4, 1.12204e+06, 15878
100, 8, 540905, 15878
100, 11, 459088, 15878
100, 16, 363933, 15878
100, 20, 331231, 15878
100, 24, 305109, 15878
100, 28, 378411, 15878
100, 32, 1.63785e+06, 15878
150, 1, 1.35668e+07, 35450
150, 2, 7.14142e+06, 35450
150, 4, 3.53557e+06, 35450
150, 8, 2.01985e+06, 35450
150, 11, 1.5428e+06, 35450
150, 16, 1.15921e+06, 35450
150, 20, 995070, 35450
150, 24, 872186, 35450
150, 28, 733991, 35450
150, 32, 3.005e+06, 35450
200, 1, 6.69946e+07, 62644
200, 2, 2.47719e+07, 62644
200, 4, 8.993e+06, 62644
200, 8, 6.71349e+06, 62644
200, 11, 5.01281e+06, 62644
200, 16, 3.40061e+06, 62644
200, 20, 3.09085e+06, 62644
200, 24, 2.34931e+06, 62644
200, 28, 2.35312e+06, 62644
200, 32, 6.2871e+06, 62644
