N, C, Time, EquationSize
10, 1, 2826, 230
10, 2, 4333, 230
10, 4, 4688, 230
10, 8, 4562, 230
10, 11, 5569, 230
10, 16, 11354, 230
10, 20, 10148, 230
10, 24, 14497, 230
10, 28, 19210, 230
10, 32, 90501, 230
25, 1, 43038, 1325
25, 2, 25223, 1325
25, 4, 20977, 1325
25, 8, 14119, 1325
25, 11, 14853, 1325
25, 16, 15364, 1325
25, 20, 17321, 1325
25, 24, 25983, 1325
25, 28, 23637, 1325
25, 32, 209220, 1325
50, 1, 311332, 5150
50, 2, 185332, 5150
50, 4, 123322, 5150
50, 8, 78984, 5150
50, 11, 63922, 5150
50, 16, 57017, 5150
50, 20, 68543, 5150
50, 24, 74285, 5150
50, 28, 61961, 5150
50, 32, 432251, 5150
75, 1, 1.15264e+06, 11475
75, 2, 753897, 11475
75, 4, 403302, 11475
75, 8, 229135, 11475
75, 11, 181992, 11475
75, 16, 141630, 11475
75, 20, 131112, 11475
75, 24, 116259, 11475
75, 28, 134287, 11475
75, 32, 718389, 11475
100, 1, 3.30607e+06, 20300
100, 2, 1.60422e+06, 20300
100, 4, 976154, 20300
100, 8, 497117, 20300
100, 11, 387003, 20300
100, 16, 288732, 20300
100, 20, 248723, 20300
100, 24, 222457, 20300
100, 28, 205454, 20300
100, 32, 1.05461e+06, 20300
150, 1, 1.98688e+07, 45450
150, 2, 8.14908e+06, 45450
150, 4, 4.00798e+06, 45450
150, 8, 1.77073e+06, 45450
150, 11, 1.42717e+06, 45450
150, 16, 1.03956e+06, 45450
150, 20, 865946, 45450
150, 24, 788690, 45450
150, 28, 701619, 45450
150, 32, 2.25739e+06, 45450
200, 1, 9.79319e+07, 80600
200, 2, 4.29338e+07, 80600
200, 4, 1.52511e+07, 80600
200, 8, 9.47728e+06, 80600
200, 11, 6.31084e+06, 80600
200, 16, 5.0674e+06, 80600
200, 20, 3.44335e+06, 80600
200, 24, 3.31805e+06, 80600
200, 28, 2.73285e+06, 80600
200, 32, 5.98568e+06, 80600
