N, C, Time
10, 1, 2115
10, 2, 2128
10, 4, 2224
10, 8, 2474
10, 16, 103022
25, 1, 20938
25, 2, 14504
25, 4, 13895
25, 8, 16264
25, 16, 232806
50, 1, 281106
50, 2, 149431
50, 4, 72165
50, 8, 72500
50, 16, 557361
75, 1, 1.14886e+06
75, 2, 463642
75, 4, 372725
75, 8, 176068
75, 16, 901013
100, 1, 2.84348e+06
100, 2, 1.6835e+06
100, 4, 928269
100, 8, 443915
100, 16, 1.43503e+06
150, 1, 1.7227e+07
150, 2, 8.76462e+06
150, 4, 5.20005e+06
150, 8, 2.8466e+06
150, 16, 4.19433e+06
200, 1, 8.97794e+07
200, 2, 2.87406e+07
200, 4, 1.41986e+07
200, 8, 8.40051e+06
200, 16, 1.1888e+07
