N, C, Time
10, 1, 1064
10, 2, 21591
10, 4, 34577
10, 8, 65720
10, 16, 122969
25, 1, 13943
25, 2, 77382
25, 4, 96537
25, 8, 161714
25, 16, 365042
50, 1, 174277
50, 2, 215784
50, 4, 250038
50, 8, 506819
50, 16, 806153
75, 1, 1.01907e+06
75, 2, 554313
75, 4, 606375
75, 8, 883742
75, 16, 1.38134e+06
100, 1, 3.08853e+06
100, 2, 2.09403e+06
100, 4, 2.0226e+06
100, 8, 1.9668e+06
100, 16, 2.5395e+06
150, 1, 1.42736e+07
150, 2, 8.61657e+06
150, 4, 8.16982e+06
150, 8, 7.66005e+06
150, 16, 8.53843e+06
200, 1, 4.14229e+07
200, 2, 1.88274e+07
200, 4, 1.65791e+07
200, 8, 1.74685e+07
200, 16, 1.73386e+07
